Total Samples: 624
KNN Accuracy: 0.8830
Top-1 Accuracy: 0.8269
Mean Precision@5: 0.8609

Test-1: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0001-0001.jpeg
Test-2: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0003-0001.jpeg
Test-3: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0005-0001.jpeg
Test-4: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\IM-0006-0001.jpeg
Test-5: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0007-0001.jpeg
Test-6: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0009-0001.jpeg
Test-7: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0010-0001.jpeg
Test-8: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0011-0001-0001.jpeg
Test-9: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0011-0001-0002.jpeg
Test-10: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0011-0001.jpeg
Test-11: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0013-0001.jpeg
Test-12: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0015-0001.jpeg
Test-13: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0016-0001.jpeg
Test-14: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0017-0001.jpeg
Test-15: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0019-0001.jpeg
Test-16: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0021-0001.jpeg
Test-17: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0022-0001.jpeg
Test-18: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0023-0001.jpeg
Test-19: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0025-0001.jpeg
Test-20: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0027-0001.jpeg
Test-21: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0028-0001.jpeg
Test-22: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0029-0001.jpeg
Test-23: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0030-0001.jpeg
Test-24: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0031-0001.jpeg
Test-25: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0033-0001-0001.jpeg
Test-26: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0033-0001-0002.jpeg
Test-27: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0033-0001.jpeg
Test-28: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0035-0001.jpeg
Test-29: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0036-0001.jpeg
Test-30: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0037-0001.jpeg
Test-31: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0039-0001.jpeg
Test-32: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0041-0001.jpeg
Test-33: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0043-0001.jpeg
Test-34: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0045-0001.jpeg
Test-35: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0046-0001.jpeg
Test-36: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0049-0001.jpeg
Test-37: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0050-0001.jpeg
Test-38: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0059-0001.jpeg
Test-39: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0061-0001.jpeg
Test-40: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0063-0001.jpeg
Test-41: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\IM-0065-0001.jpeg
Test-42: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0067-0001.jpeg
Test-43: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0069-0001.jpeg
Test-44: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0070-0001.jpeg
Test-45: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0071-0001.jpeg
Test-46: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0073-0001.jpeg
Test-47: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0075-0001.jpeg
Test-48: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\IM-0077-0001.jpeg
Test-49: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0079-0001.jpeg
Test-50: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0081-0001.jpeg
Test-51: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\IM-0083-0001.jpeg
Test-52: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0084-0001.jpeg
Test-53: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0085-0001.jpeg
Test-54: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0086-0001.jpeg
Test-55: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0087-0001.jpeg
Test-56: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0089-0001.jpeg
Test-57: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\IM-0091-0001.jpeg
Test-58: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0093-0001.jpeg
Test-59: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0095-0001.jpeg
Test-60: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0097-0001.jpeg
Test-61: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0099-0001.jpeg
Test-62: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0101-0001.jpeg
Test-63: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0102-0001.jpeg
